tips,total_plastic,total_n,species_FO,n_studies,plastic,clements2025_binomial,Clements2025_Order,Clements2025_Family,Clements2025_Common_name,Clements2025_Genus,studied,well_studied,mean_species_FO_weighted,Family
Aethia_cristatella,7,1243,0.00563153660498793,17,yes,Aethia cristatella,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Crested Auklet,Aethia,yes,yes,0.31647387999699833,Alcidae
Aethia_psittacula,284,468,0.6068376068376068,16,yes,Aethia psittacula,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Parakeet Auklet,Aethia,yes,yes,0.31647387999699833,Alcidae
Aethia_pygmaea,1,516,0.00193798449612403,16,yes,Aethia pygmaea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Whiskered Auklet,Aethia,yes,yes,0.31647387999699833,Alcidae
Alca_torda,4,78,0.05128205128205128,13,yes,Alca torda,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Razorbill,Alca,yes,no,0.31647387999699833,Alcidae
Alle_alle,117,433,0.2702078521939954,10,yes,Alle alle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Dovekie,Alle,yes,yes,0.31647387999699833,Alcidae
Anous_ceruleus,0,114,0,2,no,Anous ceruleus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Blue-gray Noddy,Anous,yes,no,0.31647387999699833,Laridae
Anous_minutus,1,560,0.00178571428571428,7,yes,Anous minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Noddy,Anous,yes,yes,0.31647387999699833,Laridae
Anous_stolidus,90,571,0.15761821366024517,15,yes,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown Noddy,Anous,yes,yes,0.31647387999699833,Laridae
Anous_tenuirostris,9,24,0.375,2,yes,Anous tenuirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lesser Noddy,Anous,yes,no,0.31647387999699833,Laridae
Aphrodroma_brevirostris,21,122,0.1721311475409836,10,yes,Aphrodroma brevirostris,Procellariiformes,Procellariidae (Shearwaters and Petrels),Kerguelen Petrel,Aphrodroma,yes,yes,0.31647387999699833,Procellariidae
Aptenodytes_forsteri,1,67,0.01492537313432835,5,yes,Aptenodytes forsteri,Sphenisciformes,Spheniscidae (Penguins),Emperor Penguin,Aptenodytes,yes,no,0.31647387999699833,Spheniscidae
Aptenodytes_patagonicus,15,201,0.07462686567164178,3,yes,Aptenodytes patagonicus,Sphenisciformes,Spheniscidae (Penguins),King Penguin,Aptenodytes,yes,yes,0.31647387999699833,Spheniscidae
Ardenna_bulleri,117,122,0.9590163934426228,3,yes,Ardenna bulleri,Procellariiformes,Procellariidae (Shearwaters and Petrels),Buller's Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Ardenna_carneipes,1781,2734,0.6514264813460132,59,yes,Ardenna carneipes,Procellariiformes,Procellariidae (Shearwaters and Petrels),Flesh-footed Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Ardenna_creatopus,3,6,0.5,2,yes,Ardenna creatopus,Procellariiformes,Procellariidae (Shearwaters and Petrels),Pink-footed Shearwater,Ardenna,yes,no,0.31647387999699833,Procellariidae
Ardenna_gravis,959,1300,0.7376923076923076,36,yes,Ardenna gravis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Great Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Ardenna_grisea,1108,1887,0.5871754107048225,40,yes,Ardenna grisea,Procellariiformes,Procellariidae (Shearwaters and Petrels),Sooty Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Ardenna_pacifica,263,1699,0.1547969393761036,37,yes,Ardenna pacifica,Procellariiformes,Procellariidae (Shearwaters and Petrels),Wedge-tailed Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Ardenna_tenuirostris,2737,3323,0.8236533253084563,54,yes,Ardenna tenuirostris,Procellariiformes,Procellariidae (Shearwaters and Petrels),Short-tailed Shearwater,Ardenna,yes,yes,0.31647387999699833,Procellariidae
Brachyramphus_brevirostris,0,22,0,2,no,Brachyramphus brevirostris,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Kittlitz's Murrelet,Brachyramphus,yes,no,0.31647387999699833,Alcidae
Brachyramphus_marmoratus,0,157,0,2,no,Brachyramphus marmoratus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Marbled Murrelet,Brachyramphus,yes,no,0.31647387999699833,Alcidae
Bucephala_albeola,0,1,0,1,no,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bufflehead,Bucephala,yes,no,0.31647387999699833,Anatidae
Bucephala_clangula,0,2,0,1,no,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Goldeneye,Bucephala,yes,no,0.31647387999699833,Anatidae
Bucephala_islandica,0,19,0,2,no,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Barrow's Goldeneye,Bucephala,yes,no,0.31647387999699833,Anatidae
Bulweria_bulwerii,101,385,0.2623376623376623,8,yes,Bulweria bulwerii,Procellariiformes,Procellariidae (Shearwaters and Petrels),Bulwer's Petrel,Bulweria,yes,yes,0.31647387999699833,Procellariidae
Calonectris_borealis,1692,2135,0.7925058548009367,22,yes,Calonectris borealis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Cory's Shearwater,Calonectris,yes,yes,0.31647387999699833,Procellariidae
Calonectris_edwardsii,197,411,0.4793187347931874,5,yes,Calonectris edwardsii,Procellariiformes,Procellariidae (Shearwaters and Petrels),Cape Verde Shearwater,Calonectris,yes,yes,0.31647387999699833,Procellariidae
Calonectris_leucomelas,0,24,0,3,no,Calonectris leucomelas,Procellariiformes,Procellariidae (Shearwaters and Petrels),Streaked Shearwater,Calonectris,yes,no,0.31647387999699833,Procellariidae
Cepphus_columba,1,70,0.01428571428571428,4,yes,Cepphus columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Pigeon Guillemot,Cepphus,yes,no,0.31647387999699833,Alcidae
Cepphus_grylle,0,95,0,6,no,Cepphus grylle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Black Guillemot,Cepphus,yes,no,0.31647387999699833,Alcidae
Cerorhinca_monocerata,5,93,0.05376344086021505,7,yes,Cerorhinca monocerata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Rhinoceros Auklet,Cerorhinca,yes,no,0.31647387999699833,Alcidae
Chlidonias_niger,0,2,0,1,no,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Tern,Chlidonias,yes,no,0.31647387999699833,Laridae
Chroicocephalus_cirrocephalus,0,3,0,1,no,Chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray-hooded Gull,Chroicocephalus,yes,no,0.31647387999699833,Laridae
Chroicocephalus_hartlaubii,0,13,0,1,no,Chroicocephalus hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Hartlaub's Gull,Chroicocephalus,yes,no,0.31647387999699833,Laridae
Chroicocephalus_novaehollandiae,1,15,0.06666666666666667,3,yes,Chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Silver Gull,Chroicocephalus,yes,no,0.31647387999699833,Laridae
Chroicocephalus_philadelphia,0,4,0,1,no,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Bonaparte's Gull,Chroicocephalus,yes,no,0.31647387999699833,Laridae
Chroicocephalus_ridibundus,6,25,0.24,6,yes,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-headed Gull,Chroicocephalus,yes,no,0.31647387999699833,Laridae
Clangula_hyemalis,9,230,0.0391304347826087,5,yes,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Long-tailed Duck,Clangula,yes,yes,0.31647387999699833,Anatidae
Daption_capense,88,450,0.19555555555555557,25,yes,Daption capense,Procellariiformes,Procellariidae (Shearwaters and Petrels),Pintado Petrel,Daption,yes,yes,0.31647387999699833,Procellariidae
Diomedea_antipodensis,1,9,0.1111111111111111,5,yes,Diomedea antipodensis,Procellariiformes,Diomedeidae (Albatrosses),Antipodean Albatross,Diomedea,yes,no,0.31647387999699833,Diomedeidae
Diomedea_dabbenena,2,16,0.125,6,yes,Diomedea dabbenena,Procellariiformes,Diomedeidae (Albatrosses),Tristan Albatross,Diomedea,yes,no,0.31647387999699833,Diomedeidae
Diomedea_epomophora,6,36,0.16666666666666666,9,yes,Diomedea epomophora,Procellariiformes,Diomedeidae (Albatrosses),Southern Royal Albatross,Diomedea,yes,no,0.31647387999699833,Diomedeidae
Diomedea_exulans,513,1144,0.44842657342657344,20,yes,Diomedea exulans,Procellariiformes,Diomedeidae (Albatrosses),Snowy Albatross,Diomedea,yes,yes,0.31647387999699833,Diomedeidae
Diomedea_sanfordi,14,63,0.2222222222222222,2,yes,Diomedea sanfordi,Procellariiformes,Diomedeidae (Albatrosses),Northern Royal Albatross,Diomedea,yes,no,0.31647387999699833,Diomedeidae
Eudyptes_chrysocome,2,177,0.01129943502824858,1,yes,Eudyptes chrysocome,Sphenisciformes,Spheniscidae (Penguins),Western Rockhopper Penguin,Eudyptes,yes,no,0.31647387999699833,Spheniscidae
Eudyptes_chrysolophus,0,46,0,1,no,Eudyptes chrysolophus,Sphenisciformes,Spheniscidae (Penguins),Macaroni Penguin,Eudyptes,yes,no,0.31647387999699833,Spheniscidae
Eudyptes_moseleyi,0,12,0,1,no,Eudyptes moseleyi,Sphenisciformes,Spheniscidae (Penguins),Moseley's Rockhopper Penguin,Eudyptes,yes,no,0.31647387999699833,Spheniscidae
Eudyptula_minor,0,124,0,2,no,Eudyptula minor,Sphenisciformes,Spheniscidae (Penguins),Little Penguin,Eudyptula,yes,no,0.31647387999699833,Spheniscidae
Fratercula_arctica,72,438,0.1643835616438356,12,yes,Fratercula arctica,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Atlantic Puffin,Fratercula,yes,yes,0.31647387999699833,Alcidae
Fratercula_cirrhata,210,1000,0.21,9,yes,Fratercula cirrhata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Tufted Puffin,Fratercula,yes,yes,0.31647387999699833,Alcidae
Fratercula_corniculata,152,392,0.3877551020408163,8,yes,Fratercula corniculata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Horned Puffin,Fratercula,yes,yes,0.31647387999699833,Alcidae
Fregata_ariel,0,1,0,1,no,Fregata ariel,Suliformes,Fregatidae (Frigatebirds),Lesser Frigatebird,Fregata,yes,no,0.31647387999699833,Fregatidae
Fregata_magnificens,2,113,0.01769911504424778,5,yes,Fregata magnificens,Suliformes,Fregatidae (Frigatebirds),Magnificent Frigatebird,Fregata,yes,yes,0.31647387999699833,Fregatidae
Fregata_minor,23,371,0.06199460916442048,4,yes,Fregata minor,Suliformes,Fregatidae (Frigatebirds),Great Frigatebird,Fregata,yes,yes,0.31647387999699833,Fregatidae
Fregetta_grallaria,11,147,0.07482993197278912,5,yes,Fregetta grallaria,Procellariiformes,Oceanitidae (Southern Storm-Petrels),White-bellied Storm-Petrel,Fregetta,yes,yes,0.31647387999699833,Oceanitidae
Fregetta_tropica,0,8,0,3,no,Fregetta tropica,Procellariiformes,Oceanitidae (Southern Storm-Petrels),Black-bellied Storm-Petrel,Fregetta,yes,no,0.31647387999699833,Oceanitidae
Fulmarus_glacialis,4657,5556,0.8381929445644348,62,yes,Fulmarus glacialis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Northern Fulmar,Fulmarus,yes,yes,0.31647387999699833,Procellariidae
Fulmarus_glacialoides,47,253,0.1857707509881423,17,yes,Fulmarus glacialoides,Procellariiformes,Procellariidae (Shearwaters and Petrels),Southern Fulmar,Fulmarus,yes,yes,0.31647387999699833,Procellariidae
Garrodia_nereis,7,23,0.30434782608695654,3,yes,Garrodia nereis,Procellariiformes,Oceanitidae (Southern Storm-Petrels),Gray-backed Storm-Petrel,Garrodia,yes,no,0.31647387999699833,Oceanitidae
Gavia_adamsii,1,3,0.3333333333333333,1,yes,Gavia adamsii,Gaviiformes,Gaviidae (Loons),Yellow-billed Loon,Gavia,yes,no,0.31647387999699833,Gaviidae
Gavia_arctica,0,6,0,1,no,Gavia arctica,Gaviiformes,Gaviidae (Loons),Arctic Loon,Gavia,yes,no,0.31647387999699833,Gaviidae
Gavia_immer,1,13,0.07692307692307693,3,yes,Gavia immer,Gaviiformes,Gaviidae (Loons),Common Loon,Gavia,yes,no,0.31647387999699833,Gaviidae
Gavia_pacifica,2,22,0.09090909090909093,2,yes,Gavia pacifica,Gaviiformes,Gaviidae (Loons),Pacific Loon,Gavia,yes,no,0.31647387999699833,Gaviidae
Gavia_stellata,1,38,0.02631578947368421,6,yes,Gavia stellata,Gaviiformes,Gaviidae (Loons),Red-throated Loon,Gavia,yes,no,0.31647387999699833,Gaviidae
Gulosus_aristotelis,56,115,0.48695652173913045,9,yes,Gulosus aristotelis,Suliformes,Phalacrocoracidae (Cormorants and Shags),European Shag,Gulosus,yes,yes,0.31647387999699833,Phalacrocoracidae
Gygis_alba,0,11,0,3,no,Gygis alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Atlantic White-Tern,Gygis,yes,no,0.31647387999699833,Laridae
Gygis_candida,1,287,0.00348432055749128,5,yes,Gygis candida,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Blue-billed White-Tern,Gygis,yes,yes,0.31647387999699833,Laridae
Halobaena_caerulea,132,166,0.7951807228915663,8,yes,Halobaena caerulea,Procellariiformes,Procellariidae (Shearwaters and Petrels),Blue Petrel,Halobaena,yes,yes,0.31647387999699833,Procellariidae
Histrionicus_histrionicus,0,7,0,2,no,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Harlequin Duck,Histrionicus,yes,no,0.31647387999699833,Anatidae
Hydrobates_castro,5,19,0.2631578947368421,3,yes,Hydrobates castro,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Band-rumped Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_furcatus,38,41,0.926829268292683,4,yes,Hydrobates furcatus,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Fork-tailed Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_hornbyi,0,1,0,1,no,Hydrobates hornbyi,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ringed Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_leucorhous,1068,2961,0.3606889564336373,25,yes,Hydrobates leucorhous,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Leach's Storm-Petrel,Hydrobates,yes,yes,0.31647387999699833,Hydrobatidae
Hydrobates_markhami,24,136,0.17647058823529413,4,yes,Hydrobates markhami,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Markham's Storm-Petrel,Hydrobates,yes,yes,0.31647387999699833,Hydrobatidae
Hydrobates_melania,0,2,0,1,no,Hydrobates melania,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Black Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_monorhis,294,305,0.9639344262295082,3,yes,Hydrobates monorhis,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Swinhoe's Storm-Petrel,Hydrobates,yes,yes,0.31647387999699833,Hydrobatidae
Hydrobates_pelagicus,14,52,0.2692307692307692,4,yes,Hydrobates pelagicus,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),European Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_tethys,3,472,0.00635593220338983,2,yes,Hydrobates tethys,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Wedge-rumped Storm-Petrel,Hydrobates,yes,no,0.31647387999699833,Hydrobatidae
Hydrobates_tristrami,189,221,0.8552036199095022,11,yes,Hydrobates tristrami,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Tristram's Storm-Petrel,Hydrobates,yes,yes,0.31647387999699833,Hydrobatidae
Ichthyaetus_audouinii,44,139,0.31654676258992803,5,yes,Ichthyaetus audouinii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Audouin's Gull,Ichthyaetus,yes,yes,0.31647387999699833,Laridae
Ichthyaetus_melanocephalus,1,7,0.14285714285714285,4,yes,Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Mediterranean Gull,Ichthyaetus,yes,no,0.31647387999699833,Laridae
Larus_argentatus,110,264,0.4166666666666667,15,yes,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",European Herring Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_canus,2,21,0.09523809523809525,4,yes,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Common Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_crassirostris,39,128,0.3046875,4,yes,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-tailed Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_delawarensis,30,71,0.4225352112676056,2,yes,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Ring-billed Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_dominicanus,189,3506,0.05390758699372504,18,yes,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Kelp Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_fuscus,92,368,0.25,11,yes,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lesser Black-backed Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_glaucescens,74,683,0.10834553440702782,5,yes,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Glaucous-winged Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_glaucoides,16,21,0.7619047619047619,4,yes,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Iceland Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_heermanni,2,20,0.1,2,yes,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Heermann's Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_hyperboreus,8,76,0.10526315789473684,4,yes,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Glaucous Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_marinus,80,160,0.5,9,yes,Larus marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Great Black-backed Gull,Larus,yes,yes,0.31647387999699833,Laridae
